Question,Correct Answer
Total population in Etowah County,5559
Average income in Etowah County,35745.0
Poverty rate in Etowah County,29.6
Unemployment rate in Etowah County,7.7
Total population in Etowah County,2438
Average income in Etowah County,21466.0
Poverty rate in Etowah County,37.1
Unemployment rate in Etowah County,2.5
Total population in Fayette County,1509
Average income in Fayette County,41875.0
Poverty rate in Fayette County,11.8
Unemployment rate in Fayette County,11.3
Total population in Fayette County,3202
Average income in Fayette County,43261.0
Poverty rate in Fayette County,7.2
Unemployment rate in Fayette County,4.8
Total population in Fayette County,4201
Average income in Fayette County,45982.0
Poverty rate in Fayette County,12.5
Unemployment rate in Fayette County,5.9
Total population in Fayette County,3889
Average income in Fayette County,31349.0
Poverty rate in Fayette County,27.6
Unemployment rate in Fayette County,13.3
Total population in Fayette County,3856
Average income in Fayette County,32656.0
Poverty rate in Fayette County,26.2
Unemployment rate in Fayette County,8.7
Total population in Franklin County,3778
Average income in Franklin County,41838.0
Poverty rate in Franklin County,17.7
Unemployment rate in Franklin County,8.1
Total population in Franklin County,5611
Average income in Franklin County,37091.0
Poverty rate in Franklin County,31.0
Unemployment rate in Franklin County,5.9
Total population in Franklin County,2565
Average income in Franklin County,41409.0
Poverty rate in Franklin County,17.0
Unemployment rate in Franklin County,5.1
Total population in Franklin County,4312
Average income in Franklin County,50244.0
Poverty rate in Franklin County,32.0
Unemployment rate in Franklin County,9.5
Total population in Franklin County,2829
Average income in Franklin County,39276.0
Poverty rate in Franklin County,13.1
Unemployment rate in Franklin County,5.1
Total population in Franklin County,2752
Average income in Franklin County,35000.0
Poverty rate in Franklin County,32.0
Unemployment rate in Franklin County,11.0
Total population in Franklin County,2186
Average income in Franklin County,39244.0
Poverty rate in Franklin County,9.9
Unemployment rate in Franklin County,5.7
Total population in Franklin County,1595
Average income in Franklin County,38618.0
Poverty rate in Franklin County,10.0
Unemployment rate in Franklin County,12.3
Total population in Franklin County,5879
Average income in Franklin County,36488.0
Poverty rate in Franklin County,24.0
Unemployment rate in Franklin County,11.7
Total population in Geneva County,4715
Average income in Geneva County,30017.0
Poverty rate in Geneva County,28.1
Unemployment rate in Geneva County,12.0
Total population in Geneva County,2388
Average income in Geneva County,60852.0
Poverty rate in Geneva County,7.7
Unemployment rate in Geneva County,4.1
Total population in Geneva County,5534
Average income in Geneva County,36551.0
Poverty rate in Geneva County,29.7
Unemployment rate in Geneva County,9.2
Total population in Geneva County,5643
Average income in Geneva County,43304.0
Poverty rate in Geneva County,22.1
Unemployment rate in Geneva County,9.0
Total population in Geneva County,4309
Average income in Geneva County,44570.0
Poverty rate in Geneva County,21.5
Unemployment rate in Geneva County,11.4
Total population in Geneva County,3983
Average income in Geneva County,37197.0
Poverty rate in Geneva County,16.2
Unemployment rate in Geneva County,5.5
Total population in Greene County,1669
Average income in Greene County,22193.0
Poverty rate in Greene County,38.3
Unemployment rate in Greene County,19.9
Total population in Greene County,3677
Average income in Greene County,22023.0
Poverty rate in Greene County,30.2
Unemployment rate in Greene County,14.5
Total population in Greene County,3187
Average income in Greene County,17284.0
Poverty rate in Greene County,48.9
Unemployment rate in Greene County,11.5
Total population in Hale County,3632
Average income in Hale County,48647.0
Poverty rate in Hale County,18.3
Unemployment rate in Hale County,16.8
Total population in Hale County,1417
Average income in Hale County,35075.0
Poverty rate in Hale County,31.2
Unemployment rate in Hale County,8.8
Total population in Hale County,1675
Average income in Hale County,51838.0
Poverty rate in Hale County,11.2
Unemployment rate in Hale County,2.3
Total population in Hale County,2014
Average income in Hale County,42143.0
Poverty rate in Hale County,21.7
Unemployment rate in Hale County,5.8
Total population in Hale County,4783
Average income in Hale County,25104.0
Poverty rate in Hale County,37.4
Unemployment rate in Hale County,13.9
Total population in Hale County,1474
Average income in Hale County,28606.0
Poverty rate in Hale County,28.0
Unemployment rate in Hale County,10.7
Total population in Henry County,1794
Average income in Henry County,40560.0
Poverty rate in Henry County,13.9
Unemployment rate in Henry County,13.7
Total population in Henry County,2870
Average income in Henry County,41612.0
Poverty rate in Henry County,20.7
Unemployment rate in Henry County,5.8
Total population in Henry County,2761
Average income in Henry County,40149.0
Poverty rate in Henry County,18.6
Unemployment rate in Henry County,5.0
Total population in Henry County,1753
Average income in Henry County,39375.0
Poverty rate in Henry County,15.7
Unemployment rate in Henry County,6.3
Total population in Henry County,6446
Average income in Henry County,54527.0
Poverty rate in Henry County,7.0
Unemployment rate in Henry County,5.6
Total population in Henry County,1486
Average income in Henry County,46397.0
Poverty rate in Henry County,18.5
Unemployment rate in Henry County,6.8
Total population in Houston County,5535
Average income in Houston County,55151.0
Poverty rate in Houston County,7.7
Unemployment rate in Houston County,5.7
Total population in Houston County,9825
Average income in Houston County,65298.0
Poverty rate in Houston County,8.2
Unemployment rate in Houston County,4.8
Total population in Houston County,8580
Average income in Houston County,74051.0
Poverty rate in Houston County,5.6
Unemployment rate in Houston County,5.3
Total population in Houston County,3869
Average income in Houston County,37571.0
Poverty rate in Houston County,16.9
Unemployment rate in Houston County,9.8
Total population in Houston County,3701
Average income in Houston County,36731.0
Poverty rate in Houston County,22.2
Unemployment rate in Houston County,8.0
Total population in Houston County,2473
Average income in Houston County,53500.0
Poverty rate in Houston County,13.9
Unemployment rate in Houston County,6.5
Total population in Houston County,3607
Average income in Houston County,45958.0
Poverty rate in Houston County,16.2
Unemployment rate in Houston County,5.5
Total population in Houston County,2184
Average income in Houston County,14349.0
Poverty rate in Houston County,57.3
Unemployment rate in Houston County,22.6
Total population in Houston County,2966
Average income in Houston County,38333.0
Poverty rate in Houston County,24.8
Unemployment rate in Houston County,12.5
Total population in Houston County,8618
Average income in Houston County,46646.0
Poverty rate in Houston County,19.6
Unemployment rate in Houston County,6.4
Total population in Houston County,5050
Average income in Houston County,51968.0
Poverty rate in Houston County,12.6
Unemployment rate in Houston County,6.9
Total population in Houston County,5204
Average income in Houston County,27634.0
Poverty rate in Houston County,34.3
Unemployment rate in Houston County,9.5
Total population in Houston County,3672
Average income in Houston County,37475.0
Poverty rate in Houston County,22.6
Unemployment rate in Houston County,5.3
Total population in Houston County,2236
Average income in Houston County,16234.0
Poverty rate in Houston County,51.0
Unemployment rate in Houston County,16.4
Total population in Houston County,3427
Average income in Houston County,24160.0
Poverty rate in Houston County,38.8
Unemployment rate in Houston County,17.6
Total population in Houston County,4000
Average income in Houston County,29523.0
Poverty rate in Houston County,31.1
Unemployment rate in Houston County,14.0
Total population in Houston County,5147
Average income in Houston County,38125.0
Poverty rate in Houston County,18.7
Unemployment rate in Houston County,7.0
Total population in Houston County,1279
Average income in Houston County,32845.0
Poverty rate in Houston County,19.1
Unemployment rate in Houston County,0.7
Total population in Houston County,2040
Average income in Houston County,39208.0
Poverty rate in Houston County,19.3
Unemployment rate in Houston County,15.4
Total population in Houston County,7669
Average income in Houston County,41935.0
Poverty rate in Houston County,15.5
Unemployment rate in Houston County,5.2
Total population in Houston County,5824
Average income in Houston County,42167.0
Poverty rate in Houston County,17.7
Unemployment rate in Houston County,7.5
Total population in Houston County,7202
Average income in Houston County,46574.0
Poverty rate in Houston County,10.4
Unemployment rate in Houston County,6.1
Total population in Jackson County,6210
Average income in Jackson County,38866.0
Poverty rate in Jackson County,18.4
Unemployment rate in Jackson County,2.8
Total population in Jackson County,3173
Average income in Jackson County,33177.0
Poverty rate in Jackson County,23.9
Unemployment rate in Jackson County,6.0
Total population in Jackson County,5708
Average income in Jackson County,34616.0
Poverty rate in Jackson County,21.2
Unemployment rate in Jackson County,10.3
Total population in Jackson County,2121
Average income in Jackson County,38640.0
Poverty rate in Jackson County,22.9
Unemployment rate in Jackson County,14.2
Total population in Jackson County,3497
Average income in Jackson County,37679.0
Poverty rate in Jackson County,17.3
Unemployment rate in Jackson County,12.7
Total population in Jackson County,5812
Average income in Jackson County,39107.0
Poverty rate in Jackson County,16.8
Unemployment rate in Jackson County,4.0
Total population in Jackson County,4659
Average income in Jackson County,40651.0
Poverty rate in Jackson County,20.3
Unemployment rate in Jackson County,3.3
Total population in Jackson County,4132
Average income in Jackson County,38125.0
Poverty rate in Jackson County,26.2
Unemployment rate in Jackson County,7.3
Total population in Jackson County,5599
Average income in Jackson County,49133.0
Poverty rate in Jackson County,10.3
Unemployment rate in Jackson County,9.8
Total population in Jackson County,4422
Average income in Jackson County,33986.0
Poverty rate in Jackson County,18.7
Unemployment rate in Jackson County,8.4
Total population in Jackson County,6993
Average income in Jackson County,41012.0
Poverty rate in Jackson County,19.3
Unemployment rate in Jackson County,10.9
Total population in Jefferson County,3114
Average income in Jefferson County,28517.0
Poverty rate in Jefferson County,41.3
Unemployment rate in Jefferson County,10.7
Total population in Jefferson County,2124
Average income in Jefferson County,19508.0
Poverty rate in Jefferson County,45.4
Unemployment rate in Jefferson County,13.3
Total population in Jefferson County,3515
Average income in Jefferson County,29527.0
Poverty rate in Jefferson County,30.2
Unemployment rate in Jefferson County,21.2
Total population in Jefferson County,3060
Average income in Jefferson County,22072.0
Poverty rate in Jefferson County,38.2
Unemployment rate in Jefferson County,21.0
Total population in Jefferson County,2739
Average income in Jefferson County,17083.0
Poverty rate in Jefferson County,61.7
Unemployment rate in Jefferson County,17.9
Total population in Jefferson County,3071
Average income in Jefferson County,21932.0
Poverty rate in Jefferson County,32.0
Unemployment rate in Jefferson County,10.8
Total population in Jefferson County,4636
Average income in Jefferson County,37207.0
Poverty rate in Jefferson County,16.1
Unemployment rate in Jefferson County,6.2
Total population in Jefferson County,2803
Average income in Jefferson County,27396.0
Poverty rate in Jefferson County,22.4
Unemployment rate in Jefferson County,13.2
Total population in Jefferson County,2086
Average income in Jefferson County,31781.0
Poverty rate in Jefferson County,22.2
Unemployment rate in Jefferson County,10.2
Total population in Jefferson County,2721
Average income in Jefferson County,21420.0
Poverty rate in Jefferson County,38.1
Unemployment rate in Jefferson County,21.2
Total population in Jefferson County,3118
Average income in Jefferson County,30040.0
Poverty rate in Jefferson County,34.4
Unemployment rate in Jefferson County,8.5
Total population in Jefferson County,1829
Average income in Jefferson County,25093.0
Poverty rate in Jefferson County,31.2
Unemployment rate in Jefferson County,6.2
Total population in Jefferson County,3664
Average income in Jefferson County,31934.0
Poverty rate in Jefferson County,45.8
Unemployment rate in Jefferson County,5.7
Total population in Jefferson County,2299
Average income in Jefferson County,28811.0
Poverty rate in Jefferson County,27.8
Unemployment rate in Jefferson County,5.4
Total population in Jefferson County,2565
Average income in Jefferson County,34329.0
Poverty rate in Jefferson County,25.2
Unemployment rate in Jefferson County,16.6
Total population in Jefferson County,3907
Average income in Jefferson County,16461.0
Poverty rate in Jefferson County,45.9
Unemployment rate in Jefferson County,23.7
Total population in Jefferson County,3237
Average income in Jefferson County,65809.0
Poverty rate in Jefferson County,15.8
Unemployment rate in Jefferson County,3.8
Total population in Jefferson County,3686
Average income in Jefferson County,73750.0
Poverty rate in Jefferson County,6.7
Unemployment rate in Jefferson County,4.9
Total population in Jefferson County,4025
Average income in Jefferson County,28258.0
Poverty rate in Jefferson County,47.8
Unemployment rate in Jefferson County,12.3
Total population in Jefferson County,3806
Average income in Jefferson County,18144.0
Poverty rate in Jefferson County,37.5
Unemployment rate in Jefferson County,14.9
Total population in Jefferson County,2185
Average income in Jefferson County,16983.0
Poverty rate in Jefferson County,35.2
Unemployment rate in Jefferson County,26.6
Total population in Jefferson County,3479
Average income in Jefferson County,24920.0
Poverty rate in Jefferson County,29.6
Unemployment rate in Jefferson County,15.0
Total population in Jefferson County,2424
Average income in Jefferson County,18388.0
Poverty rate in Jefferson County,49.9
Unemployment rate in Jefferson County,25.4
Total population in Jefferson County,3683
Average income in Jefferson County,26985.0
Poverty rate in Jefferson County,37.4
Unemployment rate in Jefferson County,13.1
Total population in Jefferson County,1229
Average income in Jefferson County,20039.0
Poverty rate in Jefferson County,45.6
Unemployment rate in Jefferson County,25.6
Total population in Jefferson County,931
Average income in Jefferson County,19167.0
Poverty rate in Jefferson County,30.8
Unemployment rate in Jefferson County,13.7
Total population in Jefferson County,2275
Average income in Jefferson County,24444.0
Poverty rate in Jefferson County,43.4
Unemployment rate in Jefferson County,22.7
Total population in Jefferson County,2239
Average income in Jefferson County,31630.0
Poverty rate in Jefferson County,27.2
Unemployment rate in Jefferson County,15.2
Total population in Jefferson County,4678
Average income in Jefferson County,42007.0
Poverty rate in Jefferson County,16.6
Unemployment rate in Jefferson County,14.3
Total population in Jefferson County,4634
Average income in Jefferson County,27171.0
Poverty rate in Jefferson County,32.7
Unemployment rate in Jefferson County,8.5
Total population in Jefferson County,5191
Average income in Jefferson County,31286.0
Poverty rate in Jefferson County,30.5
Unemployment rate in Jefferson County,19.1
Total population in Jefferson County,3614
Average income in Jefferson County,34750.0
Poverty rate in Jefferson County,26.4
Unemployment rate in Jefferson County,12.0
Total population in Jefferson County,1368
Average income in Jefferson County,28015.0
Poverty rate in Jefferson County,35.9
Unemployment rate in Jefferson County,4.6
Total population in Jefferson County,2990
Average income in Jefferson County,17299.0
Poverty rate in Jefferson County,41.0
Unemployment rate in Jefferson County,20.8
Total population in Jefferson County,1988
Average income in Jefferson County,20536.0
Poverty rate in Jefferson County,34.5
Unemployment rate in Jefferson County,11.7
Total population in Jefferson County,5071
Average income in Jefferson County,15313.0
Poverty rate in Jefferson County,67.9
Unemployment rate in Jefferson County,21.4
Total population in Jefferson County,4005
Average income in Jefferson County,50377.0
Poverty rate in Jefferson County,17.8
Unemployment rate in Jefferson County,2.1
Total population in Jefferson County,3491
Average income in Jefferson County,63986.0
Poverty rate in Jefferson County,8.3
Unemployment rate in Jefferson County,2.3
Total population in Jefferson County,1991
Average income in Jefferson County,58017.0
Poverty rate in Jefferson County,8.5
Unemployment rate in Jefferson County,3.2
Total population in Jefferson County,1134
Average income in Jefferson County,34069.0
Poverty rate in Jefferson County,23.9
Unemployment rate in Jefferson County,2.7
Total population in Jefferson County,3091
Average income in Jefferson County,32230.0
Poverty rate in Jefferson County,27.9
Unemployment rate in Jefferson County,7.1
Total population in Jefferson County,3502
Average income in Jefferson County,33704.0
Poverty rate in Jefferson County,24.4
Unemployment rate in Jefferson County,6.4
Total population in Jefferson County,1933
Average income in Jefferson County,15625.0
Poverty rate in Jefferson County,63.4
Unemployment rate in Jefferson County,18.6
Total population in Jefferson County,2947
Average income in Jefferson County,32632.0
Poverty rate in Jefferson County,22.9
Unemployment rate in Jefferson County,7.4
Total population in Jefferson County,4032
Average income in Jefferson County,32670.0
Poverty rate in Jefferson County,31.5
Unemployment rate in Jefferson County,5.8
Total population in Jefferson County,3405
Average income in Jefferson County,29614.0
Poverty rate in Jefferson County,16.5
Unemployment rate in Jefferson County,20.1
Total population in Jefferson County,3294
Average income in Jefferson County,51583.0
Poverty rate in Jefferson County,9.4
Unemployment rate in Jefferson County,6.5
Total population in Jefferson County,2191
Average income in Jefferson County,21955.0
Poverty rate in Jefferson County,47.1
Unemployment rate in Jefferson County,14.0
Total population in Jefferson County,4730
Average income in Jefferson County,47757.0
Poverty rate in Jefferson County,12.8
Unemployment rate in Jefferson County,4.2
Total population in Jefferson County,2474
Average income in Jefferson County,32625.0
Poverty rate in Jefferson County,19.8
Unemployment rate in Jefferson County,10.0
Total population in Jefferson County,2847
Average income in Jefferson County,29201.0
Poverty rate in Jefferson County,23.3
Unemployment rate in Jefferson County,16.8
Total population in Jefferson County,3704
Average income in Jefferson County,31875.0
Poverty rate in Jefferson County,32.4
Unemployment rate in Jefferson County,7.0
Total population in Jefferson County,5630
Average income in Jefferson County,46276.0
Poverty rate in Jefferson County,23.0
Unemployment rate in Jefferson County,8.0
Total population in Jefferson County,5574
Average income in Jefferson County,31421.0
Poverty rate in Jefferson County,25.5
Unemployment rate in Jefferson County,7.8
Total population in Jefferson County,2213
Average income in Jefferson County,65042.0
Poverty rate in Jefferson County,8.5
Unemployment rate in Jefferson County,3.7
Total population in Jefferson County,3714
Average income in Jefferson County,32260.0
Poverty rate in Jefferson County,23.7
Unemployment rate in Jefferson County,16.2
Total population in Jefferson County,2798
Average income in Jefferson County,51599.0
Poverty rate in Jefferson County,21.8
Unemployment rate in Jefferson County,15.9
Total population in Jefferson County,5819
Average income in Jefferson County,55361.0
Poverty rate in Jefferson County,14.8
Unemployment rate in Jefferson County,8.0
Total population in Jefferson County,4876
Average income in Jefferson County,34432.0
Poverty rate in Jefferson County,18.3
Unemployment rate in Jefferson County,6.6
Total population in Jefferson County,4750
Average income in Jefferson County,42689.0
Poverty rate in Jefferson County,11.8
Unemployment rate in Jefferson County,5.6
Total population in Jefferson County,1284
Average income in Jefferson County,16500.0
Poverty rate in Jefferson County,30.9
Unemployment rate in Jefferson County,15.6
Total population in Jefferson County,3160
Average income in Jefferson County,36226.0
Poverty rate in Jefferson County,25.4
Unemployment rate in Jefferson County,22.8
Total population in Jefferson County,2679
Average income in Jefferson County,28750.0
Poverty rate in Jefferson County,34.8
Unemployment rate in Jefferson County,9.6
Total population in Jefferson County,4026
Average income in Jefferson County,21355.0
Poverty rate in Jefferson County,37.8
Unemployment rate in Jefferson County,19.4
Total population in Jefferson County,3687
Average income in Jefferson County,26035.0
Poverty rate in Jefferson County,37.2
Unemployment rate in Jefferson County,15.5
Total population in Jefferson County,2168
Average income in Jefferson County,41354.0
Poverty rate in Jefferson County,28.5
Unemployment rate in Jefferson County,4.8
Total population in Jefferson County,1316
Average income in Jefferson County,21139.0
Poverty rate in Jefferson County,27.7
Unemployment rate in Jefferson County,9.8
Total population in Jefferson County,5837
Average income in Jefferson County,25882.0
Poverty rate in Jefferson County,40.5
Unemployment rate in Jefferson County,18.6
Total population in Jefferson County,2581
Average income in Jefferson County,48138.0
Poverty rate in Jefferson County,13.5
Unemployment rate in Jefferson County,4.2
Total population in Jefferson County,1518
Average income in Jefferson County,40991.0
Poverty rate in Jefferson County,21.5
Unemployment rate in Jefferson County,0.5
Total population in Jefferson County,4652
Average income in Jefferson County,92500.0
Poverty rate in Jefferson County,9.0
Unemployment rate in Jefferson County,2.7
Total population in Jefferson County,2427
Average income in Jefferson County,126944.0
Poverty rate in Jefferson County,4.5
Unemployment rate in Jefferson County,2.0
Total population in Jefferson County,4950
Average income in Jefferson County,70882.0
Poverty rate in Jefferson County,10.7
Unemployment rate in Jefferson County,7.4
Total population in Jefferson County,4230
Average income in Jefferson County,108587.0
Poverty rate in Jefferson County,6.1
Unemployment rate in Jefferson County,1.1
Total population in Jefferson County,4958
Average income in Jefferson County,51552.0
Poverty rate in Jefferson County,14.3
Unemployment rate in Jefferson County,3.6
Total population in Jefferson County,6044
Average income in Jefferson County,110739.0
Poverty rate in Jefferson County,4.9
Unemployment rate in Jefferson County,3.5
Total population in Jefferson County,3470
Average income in Jefferson County,142625.0
Poverty rate in Jefferson County,3.1
Unemployment rate in Jefferson County,1.9
Total population in Jefferson County,6083
Average income in Jefferson County,78145.0
Poverty rate in Jefferson County,6.3
Unemployment rate in Jefferson County,3.5
Total population in Jefferson County,3014
Average income in Jefferson County,133011.0
Poverty rate in Jefferson County,3.3
Unemployment rate in Jefferson County,0.0
Total population in Jefferson County,6923
Average income in Jefferson County,114725.0
Poverty rate in Jefferson County,6.5
Unemployment rate in Jefferson County,3.8
Total population in Jefferson County,4902
Average income in Jefferson County,25993.0
Poverty rate in Jefferson County,30.4
Unemployment rate in Jefferson County,6.8
Total population in Jefferson County,5756
Average income in Jefferson County,69531.0
Poverty rate in Jefferson County,11.7
Unemployment rate in Jefferson County,5.6
Total population in Jefferson County,2049
Average income in Jefferson County,35030.0
Poverty rate in Jefferson County,25.3
Unemployment rate in Jefferson County,5.1
Total population in Jefferson County,7648
Average income in Jefferson County,53082.0
Poverty rate in Jefferson County,10.9
Unemployment rate in Jefferson County,5.8
Total population in Jefferson County,11401
Average income in Jefferson County,83232.0
Poverty rate in Jefferson County,8.5
Unemployment rate in Jefferson County,5.1
Total population in Jefferson County,4859
Average income in Jefferson County,73920.0
Poverty rate in Jefferson County,6.1
Unemployment rate in Jefferson County,1.7
Total population in Jefferson County,4117
Average income in Jefferson County,79605.0
Poverty rate in Jefferson County,3.5
Unemployment rate in Jefferson County,2.8
Total population in Jefferson County,5964
Average income in Jefferson County,74542.0
Poverty rate in Jefferson County,4.8
Unemployment rate in Jefferson County,7.7
Total population in Jefferson County,7927
Average income in Jefferson County,80692.0
Poverty rate in Jefferson County,5.2
Unemployment rate in Jefferson County,2.6
Total population in Jefferson County,2248
Average income in Jefferson County,63988.0
Poverty rate in Jefferson County,6.8
Unemployment rate in Jefferson County,2.6
Total population in Jefferson County,5260
Average income in Jefferson County,65974.0
Poverty rate in Jefferson County,11.5
Unemployment rate in Jefferson County,5.2
Total population in Jefferson County,5564
Average income in Jefferson County,43709.0
Poverty rate in Jefferson County,17.4
Unemployment rate in Jefferson County,10.1
Total population in Jefferson County,3933
Average income in Jefferson County,66188.0
Poverty rate in Jefferson County,5.6
Unemployment rate in Jefferson County,3.5
Total population in Jefferson County,3555
Average income in Jefferson County,30068.0
Poverty rate in Jefferson County,33.3
Unemployment rate in Jefferson County,19.8
Total population in Jefferson County,4237
Average income in Jefferson County,26477.0
Poverty rate in Jefferson County,33.3
Unemployment rate in Jefferson County,20.4
Total population in Jefferson County,3189
Average income in Jefferson County,41444.0
Poverty rate in Jefferson County,18.5
Unemployment rate in Jefferson County,8.8
Total population in Jefferson County,6350
Average income in Jefferson County,68688.0
Poverty rate in Jefferson County,9.1
Unemployment rate in Jefferson County,6.0
Total population in Jefferson County,7157
Average income in Jefferson County,39657.0
Poverty rate in Jefferson County,14.0
Unemployment rate in Jefferson County,4.2
Total population in Jefferson County,5516
Average income in Jefferson County,44519.0
Poverty rate in Jefferson County,11.4
Unemployment rate in Jefferson County,6.5
Total population in Jefferson County,3720
Average income in Jefferson County,54922.0
Poverty rate in Jefferson County,17.9
Unemployment rate in Jefferson County,8.1
Total population in Jefferson County,9431
Average income in Jefferson County,59648.0
Poverty rate in Jefferson County,10.2
Unemployment rate in Jefferson County,6.7
Total population in Jefferson County,3482
Average income in Jefferson County,76484.0
Poverty rate in Jefferson County,5.4
Unemployment rate in Jefferson County,4.2
Total population in Jefferson County,7518
Average income in Jefferson County,64189.0
Poverty rate in Jefferson County,12.2
Unemployment rate in Jefferson County,4.1
Total population in Jefferson County,2445
Average income in Jefferson County,47382.0
Poverty rate in Jefferson County,11.5
Unemployment rate in Jefferson County,8.8
Total population in Jefferson County,7082
Average income in Jefferson County,39323.0
Poverty rate in Jefferson County,32.6
Unemployment rate in Jefferson County,12.3
Total population in Jefferson County,4775
Average income in Jefferson County,42905.0
Poverty rate in Jefferson County,27.3
Unemployment rate in Jefferson County,11.9
Total population in Jefferson County,2841
Average income in Jefferson County,31410.0
Poverty rate in Jefferson County,30.2
Unemployment rate in Jefferson County,9.9
Total population in Jefferson County,2669
Average income in Jefferson County,22425.0
Poverty rate in Jefferson County,33.5
Unemployment rate in Jefferson County,12.5
Total population in Jefferson County,2298
Average income in Jefferson County,43550.0
Poverty rate in Jefferson County,13.0
Unemployment rate in Jefferson County,12.9
Total population in Jefferson County,4741
Average income in Jefferson County,54759.0
Poverty rate in Jefferson County,18.6
Unemployment rate in Jefferson County,11.0
Total population in Jefferson County,7622
Average income in Jefferson County,59038.0
Poverty rate in Jefferson County,11.7
Unemployment rate in Jefferson County,4.2
Total population in Jefferson County,4146
Average income in Jefferson County,51364.0
Poverty rate in Jefferson County,16.6
Unemployment rate in Jefferson County,13.4
Total population in Jefferson County,2766
Average income in Jefferson County,51779.0
Poverty rate in Jefferson County,10.9
Unemployment rate in Jefferson County,8.6
Total population in Jefferson County,4245
Average income in Jefferson County,55469.0
Poverty rate in Jefferson County,9.6
Unemployment rate in Jefferson County,6.3
Total population in Jefferson County,3550
Average income in Jefferson County,60556.0
Poverty rate in Jefferson County,5.4
Unemployment rate in Jefferson County,8.3
Total population in Jefferson County,2735
Average income in Jefferson County,57955.0
Poverty rate in Jefferson County,8.6
Unemployment rate in Jefferson County,4.5
Total population in Jefferson County,7733
Average income in Jefferson County,65453.0
Poverty rate in Jefferson County,5.4
Unemployment rate in Jefferson County,7.1
Total population in Jefferson County,3903
Average income in Jefferson County,55133.0
Poverty rate in Jefferson County,12.0
Unemployment rate in Jefferson County,6.8
Total population in Jefferson County,2419
Average income in Jefferson County,38340.0
Poverty rate in Jefferson County,16.6
Unemployment rate in Jefferson County,7.8
Total population in Jefferson County,3403
Average income in Jefferson County,49517.0
Poverty rate in Jefferson County,16.9
Unemployment rate in Jefferson County,10.4
Total population in Jefferson County,4093
Average income in Jefferson County,34583.0
Poverty rate in Jefferson County,22.1
Unemployment rate in Jefferson County,11.4
Total population in Jefferson County,2939
Average income in Jefferson County,36250.0
Poverty rate in Jefferson County,22.3
Unemployment rate in Jefferson County,8.5
Total population in Jefferson County,3664
Average income in Jefferson County,44020.0
Poverty rate in Jefferson County,25.4
Unemployment rate in Jefferson County,2.1
Total population in Jefferson County,6099
Average income in Jefferson County,125333.0
Poverty rate in Jefferson County,4.0
Unemployment rate in Jefferson County,0.7
Total population in Jefferson County,2100
Average income in Jefferson County,69950.0
Poverty rate in Jefferson County,2.7
Unemployment rate in Jefferson County,4.3
Total population in Jefferson County,2704
Average income in Jefferson County,68063.0
Poverty rate in Jefferson County,8.8
Unemployment rate in Jefferson County,6.9
Total population in Jefferson County,4725
Average income in Jefferson County,62046.0
Poverty rate in Jefferson County,8.6
Unemployment rate in Jefferson County,6.9
Total population in Jefferson County,4351
Average income in Jefferson County,126094.0
Poverty rate in Jefferson County,2.0
Unemployment rate in Jefferson County,3.0
Total population in Jefferson County,6158
Average income in Jefferson County,70476.0
Poverty rate in Jefferson County,7.7
Unemployment rate in Jefferson County,6.5
Total population in Jefferson County,4589
Average income in Jefferson County,58208.0
Poverty rate in Jefferson County,6.9
Unemployment rate in Jefferson County,8.7
Total population in Jefferson County,5689
Average income in Jefferson County,55559.0
Poverty rate in Jefferson County,14.3
Unemployment rate in Jefferson County,6.4
Total population in Jefferson County,3505
Average income in Jefferson County,67196.0
Poverty rate in Jefferson County,5.6
Unemployment rate in Jefferson County,3.6
Total population in Jefferson County,5661
Average income in Jefferson County,154643.0
Poverty rate in Jefferson County,6.0
Unemployment rate in Jefferson County,1.8
Total population in Jefferson County,4569
Average income in Jefferson County,38120.0
Poverty rate in Jefferson County,17.2
Unemployment rate in Jefferson County,7.0
Total population in Jefferson County,4738
Average income in Jefferson County,47147.0
Poverty rate in Jefferson County,17.9
Unemployment rate in Jefferson County,5.6
Total population in Jefferson County,2023
Average income in Jefferson County,51464.0
Poverty rate in Jefferson County,9.4
Unemployment rate in Jefferson County,0.2
Total population in Jefferson County,6236
Average income in Jefferson County,69511.0
Poverty rate in Jefferson County,3.3
Unemployment rate in Jefferson County,1.5
Total population in Jefferson County,1636
Average income in Jefferson County,28717.0
Poverty rate in Jefferson County,34.0
Unemployment rate in Jefferson County,9.6
Total population in Jefferson County,4493
Average income in Jefferson County,26962.0
Poverty rate in Jefferson County,32.9
Unemployment rate in Jefferson County,17.3
Total population in Jefferson County,2144
Average income in Jefferson County,41758.0
Poverty rate in Jefferson County,28.2
Unemployment rate in Jefferson County,12.2
Total population in Jefferson County,3581
Average income in Jefferson County,31528.0
Poverty rate in Jefferson County,32.8
Unemployment rate in Jefferson County,14.2
Total population in Jefferson County,4955
Average income in Jefferson County,37050.0
Poverty rate in Jefferson County,14.7
Unemployment rate in Jefferson County,8.4
Total population in Jefferson County,3364
Average income in Jefferson County,26760.0
Poverty rate in Jefferson County,28.4
Unemployment rate in Jefferson County,16.1
Total population in Jefferson County,2057
Average income in Jefferson County,26556.0
Poverty rate in Jefferson County,35.2
Unemployment rate in Jefferson County,18.8
Total population in Jefferson County,1809
Average income in Jefferson County,37150.0
Poverty rate in Jefferson County,15.8
Unemployment rate in Jefferson County,24.6
Total population in Jefferson County,2247
